epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,40515.8,0.59551,0.97313,0.96712,0.96936,0.97021,0.98928,0.91522,0.40101,0.39812,0.8341,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,41819.7,0.58556,0.95269,0.96081,0.97259,0.97191,0.9898,0.91597,0.40178,0.39351,0.83507,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,43108.8,0.57638,0.93572,0.9577,0.96904,0.97603,0.98982,0.91851,0.39476,0.38831,0.83349,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,44383.2,0.5751,0.93162,0.95758,0.97014,0.97731,0.99079,0.9208,0.39054,0.38013,0.8314,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,45642.9,0.56853,0.90956,0.95504,0.97353,0.97425,0.99105,0.92252,0.38612,0.3769,0.82789,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,46901.4,0.56261,0.90676,0.95211,0.97537,0.9747,0.99131,0.92501,0.38188,0.37254,0.82519,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,48132.1,0.55522,0.87597,0.95009,0.97216,0.9806,0.99142,0.92545,0.38027,0.36815,0.82586,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,49352,0.54697,0.8657,0.94544,0.97757,0.9764,0.99142,0.92615,0.37735,0.36414,0.82448,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,50552.7,0.54401,0.85575,0.94433,0.9778,0.97679,0.99143,0.92723,0.37328,0.36321,0.8238,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,51739,0.38264,0.39969,0.86006,0.97285,0.98223,0.99139,0.92935,0.36976,0.35883,0.82243,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,52773.2,0.36766,0.37921,0.85118,0.9749,0.9804,0.99159,0.93071,0.36652,0.35258,0.82031,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,53871.8,0.35622,0.36392,0.84735,0.97953,0.97589,0.99166,0.93184,0.36338,0.34835,0.81764,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,55053.3,0.34494,0.35324,0.84548,0.98099,0.9758,0.9918,0.93368,0.36001,0.34408,0.8161,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,56253.7,0.33732,0.34241,0.84088,0.97554,0.98261,0.99205,0.93489,0.3583,0.34066,0.81485,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,57477.1,0.32582,0.33086,0.83646,0.97628,0.98173,0.99225,0.93567,0.35623,0.33773,0.81357,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,58754,0.31865,0.32256,0.8346,0.97841,0.98046,0.99235,0.93646,0.35411,0.33622,0.81267,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,60064.2,0.31072,0.31248,0.83007,0.98057,0.97963,0.99247,0.93672,0.35325,0.33433,0.81195,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,61407.5,0.30197,0.30263,0.82946,0.98069,0.97941,0.99253,0.93746,0.35272,0.33363,0.81115,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,65048.8,0.29563,0.29169,0.82413,0.9799,0.98037,0.99256,0.93781,0.35198,0.33261,0.81013,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
