                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98133,                0.70887,                 1.0137,                0.19765,                0.10447,                0.14323,                0.11364,                 1.8672,                 5.5315,                 1.6174,               0.003268,               0.003268,               0.003268
                     36,                0.97725,                0.69579,                 1.0115,                0.19925,                0.10447,                   0.15,                0.12145,                 1.9631,                 5.4298,                 1.6625,                0.00307,                0.00307,                0.00307
                     37,                0.95887,                0.68031,                 1.0039,                0.17594,                0.11214,                0.15033,                0.11899,                 1.9209,                 5.4399,                 1.6626,               0.002872,               0.002872,               0.002872
                     38,                0.98954,                0.67895,                 1.0239,                0.18541,                0.10958,                0.15125,                0.12165,                 2.0133,                 5.4774,                 1.7023,               0.002674,               0.002674,               0.002674
                     39,                0.93527,                0.70222,                0.99078,                 0.1866,                0.11118,                0.15243,                0.12382,                 2.0289,                  5.367,                 1.7101,               0.002476,               0.002476,               0.002476
                     40,                0.80335,                0.51765,                0.92139,                    0.2,                 0.1038,                0.15022,                0.12258,                 1.9219,                 5.4181,                 1.6312,               0.002278,               0.002278,               0.002278
                     41,                0.77992,                0.47621,                0.91387,                    0.2,                0.10355,                0.14889,                0.12192,                 1.9134,                  5.451,                 1.6346,                0.00208,                0.00208,                0.00208
                     42,                0.76049,                0.46841,                0.89857,                    0.2,                0.10399,                0.14912,                0.12288,                 1.9264,                 5.4752,                 1.6668,               0.001882,               0.001882,               0.001882
                     43,                0.90111,                0.63981,                0.97757,                    0.2,                0.10313,                0.14704,                0.12276,                 1.9446,                  5.439,                 1.6644,               0.001684,               0.001684,               0.001684
                     44,                 1.1134,                 0.8978,                 1.0765,                0.19819,                0.10502,                0.14274,                0.11309,                 1.7581,                 5.4345,                 1.5873,                   0.01,                   0.01,                   0.01
                     45,                  1.234,                0.98604,                 1.1497,                0.19463,                0.10831,                0.14219,                0.10806,                 1.7817,                 5.3114,                 1.5461,                   0.01,                   0.01,                   0.01
                     46,                 1.2281,                  1.013,                 1.1333,                 0.1942,                0.10639,                0.14421,                0.11066,                 1.7382,                 5.3787,                 1.5048,               0.009802,               0.009802,               0.009802
                     47,                 1.2226,                0.94507,                 1.1348,                0.19745,                0.10415,                0.14002,                0.10765,                 1.9259,                 5.3142,                 1.6106,               0.009604,               0.009604,               0.009604
                     48,                 1.2265,                0.99488,                 1.1448,                0.19614,                0.10543,                0.13918,                0.10755,                 1.9041,                 5.3764,                 1.5935,               0.009406,               0.009406,               0.009406
                     49,                 1.1951,                0.90682,                  1.124,                 0.1986,                0.10639,                0.14201,                0.10813,                 1.7731,                 5.3361,                 1.5321,               0.009208,               0.009208,               0.009208
