epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,47.7077,1.54577,0.79367,0.86231,0.96764,0.94925,0.96983,0.52453,1.50629,0.74331,0.88393,0.0005941,0.0005941,0.0005941
43,48.9008,1.58338,0.80113,0.86062,0.93693,0.94319,0.95611,0.54525,1.46881,0.72549,0.87179,0.0005842,0.0005842,0.0005842
44,50.0239,1.55493,0.77179,0.87696,0.98145,0.95238,0.9743,0.50591,1.45941,0.74406,0.88118,0.0005743,0.0005743,0.0005743
45,51.096,1.54226,0.79784,0.8942,0.98089,0.95238,0.97319,0.47356,1.5523,0.77099,0.89316,0.0005644,0.0005644,0.0005644
46,52.2055,1.55972,0.75803,0.89293,0.98378,0.96293,0.97315,0.54842,1.4334,0.69522,0.87456,0.0005545,0.0005545,0.0005545
47,53.3001,1.60553,0.79368,0.9016,0.98187,0.95238,0.97045,0.53633,1.56043,0.73742,0.87176,0.0005446,0.0005446,0.0005446
48,54.4544,1.61218,0.77819,0.88543,0.98355,0.94908,0.96265,0.54979,1.48959,0.75294,0.87499,0.0005347,0.0005347,0.0005347
49,55.6183,1.59038,0.75823,0.88126,0.97975,0.93651,0.95852,0.55038,1.48119,0.75644,0.87708,0.0005248,0.0005248,0.0005248
50,56.7339,1.5352,0.77236,0.8449,0.97681,0.93651,0.94347,0.54956,1.44873,0.74833,0.87574,0.0005149,0.0005149,0.0005149
51,57.8112,1.4925,0.71647,0.87394,0.98301,0.91852,0.94199,0.5358,1.41456,0.74505,0.87405,0.000505,0.000505,0.000505
52,58.905,1.49463,0.72764,0.86017,0.96654,0.93651,0.94258,0.52383,1.43201,0.74493,0.87388,0.0004951,0.0004951,0.0004951
53,60.0999,1.56733,0.7521,0.86414,0.98294,0.91485,0.95262,0.54633,1.44132,0.73573,0.87129,0.0004852,0.0004852,0.0004852
54,61.2013,1.5397,0.72553,0.87696,0.98297,0.91601,0.94247,0.51764,1.49923,0.76056,0.87331,0.0004753,0.0004753,0.0004753
55,62.2767,1.47806,0.72379,0.87463,0.98298,0.91686,0.94302,0.54003,1.48576,0.78493,0.87232,0.0004654,0.0004654,0.0004654
56,63.3799,1.56233,0.76329,0.85496,0.9373,0.94923,0.95763,0.5491,1.47542,0.7958,0.86944,0.0004555,0.0004555,0.0004555
57,64.4531,1.49512,0.73177,0.86504,0.9677,0.95126,0.96731,0.56589,1.45811,0.76788,0.87107,0.0004456,0.0004456,0.0004456
58,65.5665,1.56093,0.76032,0.85983,0.98385,0.96701,0.9746,0.5463,1.45324,0.75006,0.87448,0.0004357,0.0004357,0.0004357
59,66.6372,1.57369,0.73912,0.8679,0.98382,0.96533,0.97494,0.53603,1.45342,0.75236,0.87655,0.0004258,0.0004258,0.0004258
60,67.7287,1.44438,0.69424,0.86558,1,0.94901,0.96861,0.5259,1.43383,0.72812,0.86603,0.0004159,0.0004159,0.0004159
61,68.8204,1.46942,0.72917,0.86641,1,0.93497,0.96065,0.53049,1.41339,0.77495,0.86178,0.000406,0.000406,0.000406
62,70.0553,1.51802,0.72557,0.85921,1,0.93244,0.94543,0.54696,1.38481,0.78298,0.85293,0.0003961,0.0003961,0.0003961
63,71.1741,1.44215,0.7066,0.85791,0.97837,0.95238,0.96131,0.55332,1.41758,0.72725,0.86238,0.0003862,0.0003862,0.0003862
64,72.2894,1.53335,0.69527,0.86245,0.98383,0.96581,0.97143,0.56136,1.42961,0.6996,0.86729,0.0003763,0.0003763,0.0003763
65,73.3596,1.45426,0.6645,0.86295,0.98386,0.9673,0.97409,0.55345,1.4491,0.67319,0.87307,0.0003664,0.0003664,0.0003664
66,74.4897,1.47671,0.69541,0.8441,0.98381,0.96467,0.97452,0.55581,1.48799,0.70037,0.8801,0.0003565,0.0003565,0.0003565
67,75.5808,1.47073,0.71253,0.85435,0.98355,0.94927,0.97285,0.54516,1.47171,0.70644,0.88582,0.0003466,0.0003466,0.0003466
68,76.6764,1.47914,0.72378,0.85625,0.95301,0.9659,0.97244,0.54009,1.4917,0.66986,0.88997,0.0003367,0.0003367,0.0003367
69,77.7511,1.44663,0.68235,0.86949,0.98345,0.94325,0.9727,0.51058,1.55679,0.71149,0.89563,0.0003268,0.0003268,0.0003268
70,78.8409,1.49138,0.71698,0.85531,0.98384,0.96624,0.97336,0.54883,1.48465,0.692,0.88188,0.0003169,0.0003169,0.0003169
71,79.9162,1.4801,0.68913,0.86366,0.98387,0.96796,0.97336,0.5633,1.45391,0.69224,0.87828,0.000307,0.000307,0.000307
72,81.1911,1.47738,0.69142,0.85549,0.98312,0.96825,0.97208,0.53886,1.47549,0.67865,0.87982,0.0002971,0.0002971,0.0002971
73,82.2762,1.49048,0.70332,0.85124,0.9838,0.9637,0.9715,0.53326,1.5041,0.68219,0.88081,0.0002872,0.0002872,0.0002872
74,83.3839,1.43024,0.66922,0.88024,0.98357,0.95048,0.96307,0.53365,1.51111,0.70982,0.88689,0.0002773,0.0002773,0.0002773
75,84.4768,1.45756,0.6877,0.85915,0.98357,0.95053,0.96324,0.54793,1.47674,0.70885,0.88469,0.0002674,0.0002674,0.0002674
76,85.5719,1.5433,0.70251,0.8534,0.98322,0.95238,0.96353,0.5524,1.48876,0.68623,0.88266,0.0002575,0.0002575,0.0002575
77,86.6426,1.58098,0.7053,0.8444,0.98318,0.95238,0.96353,0.55707,1.48865,0.70241,0.88178,0.0002476,0.0002476,0.0002476
78,87.7646,1.4608,0.68684,0.86136,0.98383,0.96605,0.97029,0.55624,1.44772,0.6813,0.88133,0.0002377,0.0002377,0.0002377
79,88.9833,1.42693,0.67713,0.85948,0.98386,0.96767,0.97104,0.55304,1.43593,0.68208,0.87847,0.0002278,0.0002278,0.0002278
80,90.0704,1.41364,0.68455,0.84608,0.98375,0.96825,0.97289,0.56154,1.43335,0.6909,0.88129,0.0002179,0.0002179,0.0002179
81,91.2554,1.4108,0.69608,0.83655,0.98386,0.96765,0.97311,0.56243,1.4292,0.68765,0.87679,0.000208,0.000208,0.000208
82,92.3421,1.40289,0.63387,0.8562,0.98385,0.96706,0.97257,0.5834,1.41556,0.67066,0.87052,0.0001981,0.0001981,0.0001981
83,93.434,1.37092,0.65061,0.83955,0.98383,0.96568,0.97156,0.58598,1.41703,0.68778,0.86721,0.0001882,0.0001882,0.0001882
84,94.5791,1.3337,0.6266,0.83433,0.98376,0.96182,0.97031,0.58803,1.39165,0.67314,0.86247,0.0001783,0.0001783,0.0001783
85,95.722,1.36988,0.65245,0.84767,1,0.94792,0.97053,0.59168,1.3737,0.67535,0.86265,0.0001684,0.0001684,0.0001684
86,96.8796,1.41739,0.64032,0.83656,0.98073,0.96825,0.97339,0.58791,1.36262,0.6735,0.8634,0.0001585,0.0001585,0.0001585
87,97.9807,1.37965,0.64356,0.85231,0.98342,0.96825,0.97607,0.58922,1.35779,0.65999,0.86527,0.0001486,0.0001486,0.0001486
88,99.1021,1.4126,0.64892,0.85296,0.98317,0.96825,0.9774,0.5881,1.36567,0.6381,0.86812,0.0001387,0.0001387,0.0001387
89,100.203,1.36162,0.64047,0.85894,0.98314,0.96825,0.98007,0.57827,1.38685,0.66047,0.86922,0.0001288,0.0001288,0.0001288
90,101.557,1.4352,0.63502,0.87954,0.98123,0.96825,0.97632,0.57547,1.39792,0.65186,0.86986,0.0001189,0.0001189,0.0001189
91,103.073,1.25776,0.57856,0.86589,0.98038,0.96825,0.97544,0.56528,1.39324,0.64897,0.86568,0.000109,0.000109,0.000109
92,104.187,1.3024,0.57248,0.86037,1,0.95121,0.97416,0.56078,1.40177,0.65472,0.86539,9.91e-05,9.91e-05,9.91e-05
93,105.269,1.29019,0.58513,0.85164,1,0.95028,0.97274,0.5698,1.37436,0.65051,0.86036,8.92e-05,8.92e-05,8.92e-05
94,106.368,1.30427,0.59551,0.86094,1,0.94999,0.96484,0.57545,1.36208,0.66161,0.86497,7.93e-05,7.93e-05,7.93e-05
95,107.453,1.25922,0.57026,0.85795,0.99118,0.95238,0.96484,0.57115,1.3555,0.6621,0.86132,6.94e-05,6.94e-05,6.94e-05
96,108.559,1.27021,0.56401,0.84021,0.99744,0.95238,0.96468,0.56463,1.37101,0.67134,0.86362,5.95e-05,5.95e-05,5.95e-05
97,109.664,1.25215,0.5612,0.82586,0.99605,0.95238,0.96468,0.56804,1.36028,0.67288,0.85997,4.96e-05,4.96e-05,4.96e-05
98,110.777,1.30224,0.58565,0.87634,0.99633,0.95238,0.96484,0.56193,1.37598,0.67667,0.86105,3.97e-05,3.97e-05,3.97e-05
99,111.857,1.2448,0.55369,0.86898,0.99706,0.95238,0.97205,0.56656,1.37829,0.66798,0.862,2.98e-05,2.98e-05,2.98e-05
100,113.089,1.27183,0.56411,0.85595,1,0.961,0.9731,0.56773,1.38722,0.6591,0.86345,1.99e-05,1.99e-05,1.99e-05
